,timestamp,open,high,low,close,volume
274,2018-11-09,2.31,2.36,2.15,2.19,153143
275,2018-11-08,2.42,2.42,2.09,2.38,196320
276,2018-11-07,2.42,2.44,2.17,2.21,150847
277,2018-11-06,2.14,2.39,2.14,2.39,184223
278,2018-11-05,2.12,2.2787,2.02,2.16,769767
279,2018-11-02,2.01,2.23,2.01,2.1,231937
280,2018-11-01,2.09,2.12,2.0001,2.08,91220
281,2018-10-31,2.13,2.13,1.94,2.06,69288
282,2018-10-30,2.0,2.25,1.94,2.12,400977
283,2018-10-29,1.88,2.02,1.849,1.95,133664
284,2018-10-26,1.86,1.97,1.67,1.88,221979
285,2018-10-25,1.91,2.03,1.87,1.87,123640
286,2018-10-24,1.97,2.01,1.8501,1.89,75841
287,2018-10-23,1.84,2.0,1.84,1.95,87887
288,2018-10-22,1.93,1.93,1.82,1.87,80869
289,2018-10-19,1.96,1.99,1.86,1.91,106198
290,2018-10-18,2.0101,2.08,1.9,1.95,112176
291,2018-10-17,2.07,2.1,1.98,2.08,128229
292,2018-10-16,2.03,2.08,1.99,2.06,26540
293,2018-10-15,2.08,2.08,1.99,2.03,117548
294,2018-10-12,2.0,2.1,1.9183,2.06,94630
295,2018-10-11,1.77,2.292,1.66,1.99,235700
296,2018-10-10,1.9,1.93,1.78,1.79,74989
297,2018-10-09,1.87,1.93,1.77,1.88,231769
298,2018-10-08,2.0,2.0198,1.85,1.87,138980
299,2018-10-05,2.0,2.09,1.92,1.97,281604
300,2018-10-04,2.05,2.09,1.98,1.99,80376
301,2018-10-03,2.06,2.13,2.0,2.06,79279
302,2018-10-02,2.11,2.15,2.04,2.06,212724
303,2018-10-01,2.07,2.2,2.02,2.06,392318
304,2018-09-28,2.05,2.2,2.041,2.07,261499
305,2018-09-27,2.06,2.1121,2.01,2.04,183814
306,2018-09-26,1.94,2.15,1.9001,2.07,384825
307,2018-09-25,1.8,1.94,1.6712,1.91,393399
308,2018-09-24,1.63,1.82,1.59,1.81,163195
309,2018-09-21,1.64,1.68,1.51,1.62,358589
310,2018-09-20,1.65,1.65,1.55,1.63,201469
311,2018-09-19,1.67,1.7,1.64,1.64,65622
312,2018-09-18,1.67,1.68,1.62,1.68,179983
313,2018-09-17,1.55,1.67,1.51,1.66,185827
314,2018-09-14,1.69,1.7,1.51,1.59,206808
315,2018-09-13,1.8,1.8,1.67,1.69,227747
316,2018-09-12,1.82,1.9,1.79,1.79,59760
317,2018-09-11,1.87,1.9,1.79,1.82,121004
318,2018-09-10,1.98,1.98,1.8,1.85,212118
319,2018-09-07,2.04,2.12,1.95,1.97,179000
320,2018-09-06,2.12,2.1287,1.97,2.06,70908
321,2018-09-05,2.18,2.1956,2.0101,2.1,126664
322,2018-09-04,2.25,2.3445,2.12,2.18,98616
323,2018-08-31,2.15,2.35,2.15,2.2,291253
324,2018-08-30,2.05,2.13,2.0241,2.12,127666
325,2018-08-29,2.0025,2.08,1.98,2.02,142732
326,2018-08-28,1.95,2.02,1.9395,1.99,94482
327,2018-08-27,1.9,1.989,1.8518,1.91,108196
328,2018-08-24,1.9,1.9397,1.82,1.85,85115
329,2018-08-23,1.85,1.99,1.85,1.9,88450
330,2018-08-22,1.92,1.97,1.78,1.85,128444
331,2018-08-21,1.88,1.95,1.88,1.89,78753
332,2018-08-20,1.97,1.97,1.86,1.87,115955
333,2018-08-17,2.0,2.0029,1.9,1.94,80990
334,2018-08-16,2.01,2.0865,1.97,1.99,190195
335,2018-08-15,2.01,2.01,1.9105,1.98,111931
336,2018-08-14,2.02,2.02,1.91,2.01,86415
337,2018-08-13,2.03,2.03,1.95,1.98,58200
338,2018-08-10,1.89,2.08,1.85,2.03,126114
339,2018-08-09,1.91,1.99,1.88,1.92,116942
340,2018-08-08,1.96,2.0,1.91,1.94,67965
341,2018-08-07,1.95,1.9923,1.9,1.96,46621
342,2018-08-06,1.91,2.08,1.91,1.92,69102
343,2018-08-03,2.01,2.09,1.8501,1.91,265573
344,2018-08-02,2.0,2.09,1.9475,2.0,78547
345,2018-08-01,2.0,2.1,1.96,2.01,170185
346,2018-07-31,2.0,2.1498,1.9809,1.99,284060
347,2018-07-30,1.95,2.005,1.93,1.95,347277
348,2018-07-27,2.02,2.05,1.9,1.94,1467177
349,2018-07-26,2.25,2.3445,2.18,2.19,71948
350,2018-07-25,2.26,2.37,2.17,2.22,141470
351,2018-07-24,2.22,2.3299,2.12,2.25,499975
352,2018-07-23,2.45,2.45,2.22,2.22,204838
353,2018-07-20,2.47,2.47,2.3701,2.41,73226
354,2018-07-19,2.49,2.58,2.44,2.44,97851
355,2018-07-18,2.57,2.5932,2.38,2.48,139967
356,2018-07-17,2.59,2.72,2.54,2.58,79788
357,2018-07-16,2.65,2.73,2.55,2.59,157111
358,2018-07-13,2.81,2.9248,2.5977,2.65,301317
359,2018-07-12,2.83,2.9266,2.74,2.82,174322
360,2018-07-11,2.72,2.85,2.61,2.79,215399
361,2018-07-10,2.65,2.75,2.53,2.72,224477
362,2018-07-09,2.44,2.64,2.43,2.59,197369
363,2018-07-06,2.3287,2.495,2.3101,2.44,114041
364,2018-07-05,2.32,2.32,2.21,2.27,64797
365,2018-07-03,2.2,2.2789,2.15,2.21,44218
366,2018-07-02,2.23,2.35,2.1,2.2,287796
367,2018-06-29,2.29,2.36,2.2,2.21,81298
368,2018-06-28,2.37,2.63,2.22,2.24,198537
369,2018-06-27,2.33,2.44,2.2,2.3,98767
370,2018-06-26,2.2,2.85,2.0963,2.29,189932
371,2018-06-25,2.59,2.59,2.08,2.21,286366
372,2018-06-22,2.5,2.6,2.4301,2.58,129880
373,2018-06-21,2.65,2.69,2.35,2.48,135637
374,2018-06-20,2.55,2.75,2.5,2.64,248787
375,2018-06-19,2.6,2.75,2.45,2.55,297550
376,2018-06-18,2.4,2.75,2.3,2.55,699938
377,2018-06-15,2.05,2.3799,2.01,2.34,728715
378,2018-06-14,1.93,2.0793,1.8156,2.0,240468
379,2018-06-13,1.89,1.94,1.85,1.87,50016
380,2018-06-12,1.8954,1.91,1.8126,1.88,90722
381,2018-06-11,1.86,1.9,1.8,1.85,60886
382,2018-06-08,1.91,1.91,1.83,1.88,109278
383,2018-06-07,1.93,1.93,1.86,1.91,31402
384,2018-06-06,1.9,1.96,1.9,1.93,59395
385,2018-06-05,1.9316,1.97,1.88,1.9,34815
386,2018-06-04,1.95,1.97,1.9,1.94,14316
387,2018-06-01,1.95,2.0,1.93,1.96,187729
388,2018-05-31,1.95,2.0,1.9,1.94,69009
389,2018-05-30,1.92,2.0,1.9,1.94,96043
390,2018-05-29,1.94,1.94,1.79,1.88,68270
391,2018-05-25,1.87,1.95,1.85,1.92,40906
392,2018-05-24,1.88,1.89,1.84,1.87,24527
393,2018-05-23,1.79,1.8893,1.79,1.8504,76198
394,2018-05-22,1.85,1.8701,1.8009,1.8009,30988
395,2018-05-21,1.8198,1.85,1.8008,1.85,53927
396,2018-05-18,1.86,1.86,1.75,1.81,75053
397,2018-05-17,1.93,1.93,1.83,1.86,204192
398,2018-05-16,1.83,1.99,1.7925,1.93,109311
399,2018-05-15,1.82,1.86,1.74,1.84,148661
400,2018-05-14,1.74,1.84,1.74,1.8,111935
401,2018-05-11,1.66,1.75,1.65,1.74,37599
402,2018-05-10,1.66,1.73,1.6084,1.73,42196
403,2018-05-09,1.65,1.73,1.6,1.7,43221
404,2018-05-08,1.6,1.6528,1.595,1.63,46485
405,2018-05-07,1.55,1.64,1.55,1.63,63774
406,2018-05-04,1.5,1.57,1.5,1.57,56424
407,2018-05-03,1.56,1.57,1.49,1.5,29276
408,2018-05-02,1.4852,1.58,1.4852,1.57,66295
409,2018-05-01,1.44,1.53,1.412,1.5,163397
